Riv,Reg,RepID,Hg_µmolperkg,Cd_µmolperkg,Pb_µmolperkg,Cr_µmolperkg,Co_µmolperkg,Ni_µmolperkg,Cu_µmolperkg,Zn_µmolperkg,As_µmolperkg,Cd_µM,Pb_µM,Cr_µM,Co_µM,Ni_µM,Cu_µM,Zn_µM,As_µM,Clay,OM,pH,TEMP,COND,OXY,Hardness
abe,Maas,abe1,0.049404587,5.994880333,22.52722566,113.1168601,103.2491239,241.02737,50.7620705,1916.153277,195.8997326,0.004563651,0.058238417,0.038964536,0.038891623,0.163102925,0.232351368,2.936677883,0.039428724,0,1.97,7.45,15.6,286,4.31,60.69632958
abe,Maas,abe2,0.073540248,6.167757303,135.2215174,119.0608302,71.17108604,174.3407393,622.3618479,4707.464178,109.6053653,0.004323459,0.054189189,0.034771906,0.035599749,0.189937471,0.20267208,3.01315387,0.035010678,0,1.97,7.45,15.6,286,4.31,60.18677044
abe,Maas,abe3,0.097157902,6.414815672,33.46128099,159.7650804,130.8729161,199.0628806,70.38528553,1517.931613,124.6670716,0.004190019,0.054300193,0.035733518,0.036363328,0.10853083,0.221493092,2.814316305,0.03917512,0,1.97,7.45,15.6,286,4.31,58.2693955
abe,Maas,abe4,0.124089443,8.458678718,40.46005291,117.0929189,128.6516807,292.9612197,135.7639467,1899.535966,120.5351255,0.004421315,0.056346525,0.037599046,0.036057896,0.343277733,0.218518868,3.150810645,0.037880406,0,1.97,7.45,15.6,286,4.31,63.82176192
abe,Maas,abe5,0.098811623,6.347677617,30.2761935,105.8769547,116.2001828,263.1526886,299.1995241,1679.205151,101.5238149,0.003398274,0.055526062,0.039291484,0.038959496,0.171076619,0.245932081,2.906087489,0.039402029,0,1.97,7.45,15.6,286,4.31,60.66615476
bos,Maas,bos1,0.171047219,2.39819779,31.13102319,81.16344512,31.10572366,67.89401531,55.84413966,1171.242366,18.31839921,0.0004448,0.00480695,0.007654435,0.000848421,0.00085189,0.033235766,0.214132762,0.011599039,0,2.64,7.23,13.3,249,9.33,54.34008237
bos,Maas,bos2,0.196988773,2.460616017,31.01332376,69.24977405,24.55669059,53.01698283,41.81718795,1247.881404,16.87729976,0.0004448,0.004879344,0.007692899,0.000848421,0.00085189,0.027224373,0.198837565,0.012146289,0,2.64,7.23,13.3,249,9.33,50.563156
bos,Maas,bos3,0.470275671,4.770094655,54.44108416,103.1245365,31.5080294,76.8082251,103.8352832,1945.170315,21.93503918,0.0004448,0.00488417,0.006077391,0.000848421,0.00085189,0.027838102,0.198837565,0.011211959,0,2.64,7.23,13.3,249,9.33,50.92019111
bos,Maas,bos4,0.71211461,17.39589331,136.5481614,189.4616159,245.8925073,211.9865048,273.4648643,4840.566064,45.82433655,0.0004448,0.004580116,0.006000462,0.000848421,0.00085189,0.026343122,0.183542368,0.01077149,0,2.64,7.23,13.3,249,9.33,50.53693756
bos,Maas,bos5,0.396799792,9.381918252,109.7683667,166.5672315,49.46520324,119.2527823,159.0729066,2726.306908,27.0244816,0.0004448,0.004681467,0.005635049,0.000848421,0.00085189,0.027570579,0.198837565,0.010958356,0,2.64,7.23,13.3,249,9.33,50.31868855
